h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	20000	98	0.593530065	0.904808772	0.126682675	0.01	0.191489362	0.408270957	1	-4.70E-18	0.918727358	0.971298349	0.971691333	0.17709094	0.206743608
0.5	100	0.01	0.01	0.05	20000	99	0.69136382	0.914702991	0.243117537	0.01	0.109375	0.413319957	1	2.24E-17	0.881831143	0.970513774	0.969481339	-0.063251997	-0.043224361
0.5	100	0.01	0.01	0.05	20000	100	0.845408921	0.890493393	0.535254658	0.01	0.222222222	0.417253631	1	-2.45E-17	0.862307654	0.971168958	0.971074053	-0.021907852	-0.00174393
0.5	100	0.02	0.01	0.05	20000	1	0.332808447	0.860473527	1.91E-06	0.02	0.353846154	0.382263776	1	-1.09E-17	0.763048505	0.966046986	0.963095525	0.099625092	0.136293638
0.5	100	0.02	0.01	0.05	20000	2	0.292933407	0.910228045	0.001030564	0.02	0.276923077	0.405339136	1	-6.49E-18	0.85805869	0.969674394	0.969174008	0.074535236	0.117934092
0.5	100	0.02	0.01	0.05	20000	3	0.59702569	0.991698031	0.003507603	0.02	0.338709677	0.410875558	1	1.64E-17	0.937266098	0.960584747	0.961592595	0.206259064	0.247291454
0.5	100	0.02	0.01	0.05	20000	4	0.17577286	0.927162532	9.77E-06	0.02	0.229508197	0.412187505	1	-4.57E-17	0.854869488	0.967368739	0.966982057	0.058011299	0.098109598
0.5	100	0.02	0.01	0.05	20000	5	0.532978937	0.852765791	0.000368147	0.02	0.372881356	0.406472788	1	5.24E-17	0.814660791	0.968247273	0.965135174	0.180184687	0.222888371
0.5	100	0.02	0.01	0.05	20000	6	0.676440784	0.790013767	0.063828479	0.02	0.345454545	0.41290281	1	-3.96E-17	0.833597816	0.964144254	0.963230465	0.103102022	0.153575118
0.5	100	0.02	0.01	0.05	20000	7	0.582920209	0.915128192	0.075218255	0.02	0.230769231	0.41399765	1	6.71E-17	0.883763259	0.976571749	0.975631308	0.102686758	0.133707552
0.5	100	0.02	0.01	0.05	20000	8	0.47491385	0.833780472	0.003801012	0.02	0.25	0.432026802	1	-2.09E-18	0.920570977	0.977486177	0.977411794	0.049308207	0.088267549
0.5	100	0.02	0.01	0.05	20000	9	0.687711035	0.933454383	0.30596135	0.02	0.234042553	0.412034526	1	4.46E-17	0.9258261	0.970304588	0.969937326	0.107022232	0.147046091
0.5	100	0.02	0.01	0.05	20000	10	0.757347902	0.852556076	0.508247277	0.02	0.2	0.417533214	1	-2.15E-17	0.856309773	0.967299847	0.966064912	0.020151215	0.047788001
0.5	100	0.02	0.01	0.05	20000	11	0.352052891	0.864154311	0.019183543	0.02	0.245614035	0.394560191	1	3.35E-17	0.834546856	0.958237816	0.959281168	0.129431847	0.172817677
0.5	100	0.02	0.01	0.05	20000	12	0.274624956	0.990499187	0.001629898	0.02	0.239130435	0.41905112	1	4.65E-17	0.907616031	0.972394631	0.972606799	-0.127158538	-0.10603814
0.5	100	0.02	0.01	0.05	20000	13	0.669159574	0.907688815	0.027544793	0.02	0.292307692	0.410120671	1	-5.83E-17	0.886201568	0.970351775	0.968323059	0.095029443	0.135900284
0.5	100	0.02	0.01	0.05	20000	14	0.489921312	0.968117248	0.002429066	0.02	0.294117647	0.411022439	1	-6.10E-18	0.864084651	0.965032771	0.966709978	0.197866862	0.242351677
0.5	100	0.02	0.01	0.05	20000	15	0.588453493	1.016660647	0.019191228	0.02	0.278688525	0.400239358	1	-4.60E-17	0.932987515	0.968110535	0.968912168	-0.029090885	-0.00021193
0.5	100	0.02	0.01	0.05	20000	16	0.595652986	0.908130294	0.003631603	0.02	0.333333333	0.407972537	1	1.97E-17	0.901768846	0.967176914	0.966908695	0.040026334	0.082682537
0.5	100	0.02	0.01	0.05	20000	17	0.488695035	0.98012751	2.43E-05	0.02	0.327868852	0.421907777	1	3.55E-17	0.928519747	0.97349904	0.973313788	-0.023078615	0.01039745
0.5	100	0.02	0.01	0.05	20000	18	0.507815113	0.813372193	0.026063583	0.02	0.3125	0.400813465	1	-3.08E-17	0.840820436	0.967603642	0.967183122	0.0619415	0.108253302
0.5	100	0.02	0.01	0.05	20000	19	0.559025806	1.027377882	0.00034342	0.02	0.428571429	0.429642304	1	-4.22E-17	0.958669393	0.968559859	0.969357003	0.145248396	0.191608513
0.5	100	0.02	0.01	0.05	20000	20	0.433183314	0.913103337	0.000624264	0.02	0.272727273	0.409080217	1	4.70E-17	0.878055365	0.962591322	0.961444142	0.017327211	0.046118383
0.5	100	0.02	0.01	0.05	20000	21	0.229239285	0.885964986	0.000461985	0.02	0.294117647	0.408814057	1	3.01E-18	0.858824373	0.960238615	0.957744317	0.059379955	0.106946609
0.5	100	0.02	0.01	0.05	20000	22	0.496278044	0.93054329	3.11E-05	0.02	0.405797101	0.409068976	1	1.41E-17	0.843212367	0.966497352	0.966936659	0.011830569	0.056799657
