h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	5000	86	0.576297261	0.947061857	0.004109053	0.01	0.177083333	0.42277256	1	3.19E-17	0.891578258	0.980184908	0.979791893	-0.028501148	-0.016743623
0.5	100	0.01	0.01	0.05	5000	87	0.807213756	0.942251099	0.119653224	0.01	0.164948454	0.484288027	1	5.33E-17	0.94220023	0.979709924	0.979872942	-0.032159318	-0.023089266
0.5	100	0.01	0.01	0.05	5000	88	0.765228912	0.97858628	0.12955213	0.01	0.155555556	0.484984882	1	3.73E-17	0.992315444	0.985588456	0.985238539	-0.141474018	-0.131011678
0.5	100	0.01	0.01	0.05	5000	89	0.81665816	1.186201764	0.009634508	0.01	0.231578947	0.587785669	1	1.05E-16	1.157019349	0.982421187	0.98189525	0.025794598	0.039855361
0.5	100	0.01	0.01	0.05	5000	90	0.651569411	1.028896249	0.001000062	0.01	0.159292035	0.484986528	1	-1.65E-17	1.021511758	0.97995229	0.980212783	-0.048693404	-0.038676962
0.5	100	0.01	0.01	0.05	5000	91	0.941385433	1.287729761	0.015605054	0.01	0.180851064	0.685934913	1	4.65E-18	1.306421645	0.985704204	0.985445861	0.059188004	0.073836177
0.5	100	0.01	0.01	0.05	5000	92	0.549834851	0.916681912	0.014593176	0.01	0.174311927	0.428895944	1	5.19E-17	0.879794512	0.981007084	0.980775594	-0.110270673	-0.098739632
0.5	100	0.01	0.01	0.05	5000	93	0.673833116	1.026278042	0.045611507	0.01	0.133333333	0.460806857	1	-8.18E-18	0.996669578	0.980094916	0.979961443	-0.013730906	-0.000705409
0.5	100	0.01	0.01	0.05	5000	94	0.803432124	1.082314743	0.140565314	0.01	0.196581197	0.526038137	1	-3.69E-18	1.029613199	0.982303063	0.981961875	0.001629327	0.014306724
0.5	100	0.01	0.01	0.05	5000	95	0.596629016	1.209142177	0.001796139	0.01	0.101010101	0.576063557	1	-8.59E-17	1.161461	0.982944163	0.98261242	-0.131173387	-0.12133125
0.5	100	0.01	0.01	0.05	5000	96	0.921590987	1.151329848	0.087487312	0.01	0.163043478	0.560681227	1	-1.68E-17	1.106535561	0.982970917	0.983019899	-0.041647669	-0.027975521
0.5	100	0.01	0.01	0.05	5000	97	0.758553097	0.976810621	0.03729012	0.01	0.177570093	0.462251676	1	4.26E-17	0.960473043	0.981012292	0.980885683	-0.038404135	-0.027237968
0.5	100	0.01	0.01	0.05	5000	98	0.829458601	1.034132165	0.063396666	0.01	0.166666667	0.549765356	1	-1.50E-17	0.98840725	0.985323207	0.984923989	-0.017033384	0.000693705
